n_group,n_partitions,num_div_y,num_div_x
334,1,81.0,150.0
335,1,66.0,186.0
336,1,84.0,147.0
337,1,30.0,417.0
338,1,87.0,144.0
339,2,45.0,279.0
340,1,141.0,90.0
341,1,45.0,282.0
342,1,45.0,288.0
343,1,84.0,162.0
344,1,24.0,597.0
345,2,96.0,153.0
346,1,48.0,330.0
347,1,54.0,312.0
348,1,105.0,162.0
349,1,159.0,111.0
350,1,153.0,120.0
351,1,42.0,438.0
352,1,171.0,108.0
353,1,165.0,117.0
354,1,240.0,87.0
355,1,138.0,156.0
356,1,162.0,135.0
357,1,87.0,252.0
358,1,96.0,234.0
359,1,99.0,231.0
360,1,81.0,285.0
361,1,84.0,276.0
362,1,258.0,90.0
363,1,63.0,372.0
364,1,90.0,261.0
365,1,84.0,282.0
366,1,87.0,279.0
367,1,246.0,99.0
368,1,264.0,93.0
369,1,93.0,267.0
370,1,258.0,99.0
371,1,90.0,285.0
372,1,108.0,240.0
373,1,93.0,279.0
374,1,93.0,285.0
375,1,99.0,270.0
376,1,30.0,900.0
377,1,261.0,105.0
378,1,99.0,288.0
379,1,363.0,90.0
380,1,129.0,258.0
381,1,126.0,279.0
382,2,132.0,267.0
383,1,129.0,279.0
384,1,171.0,231.0
385,1,267.0,150.0
386,1,129.0,363.0
387,1,165.0,291.0
388,1,171.0,282.0
389,1,192.0,252.0
390,1,222.0,228.0
391,1,189.0,291.0
392,1,213.0,267.0
393,1,165.0,366.0
394,1,177.0,345.0
395,1,873.0,75.0
396,1,105.0,624.0
397,1,144.0,537.0
398,1,552.0,144.0
399,1,126.0,705.0
400,1,57.0,1857.0
401,1,198.0,624.0
402,1,210.0,663.0
403,1,189.0,777.0
404,1,222.0,777.0
405,1,477.0,369.0
406,1,174.0,1806.0
407,1,315.0,1059.0
408,1,321.0,1539.0
409,1,684.0,1101.0
410,1,867.0,936.0
411,1,2640.0,399.0
412,1,2448.0,447.0
413,1,1011.0,1155.0
414,1,2454.0,1086.0
415,1,1191.0,3837.0
416,1,1956.0,3201.0
417,1,2763.0,2820.0
