n_group,n_partitions,num_div_y,num_div_x
453,1,57.0,2115.0
454,1,126.0,1101.0
455,1,414.0,369.0
456,1,222.0,780.0
457,1,174.0,1080.0
458,1,159.0,1284.0
459,1,288.0,711.0
460,1,2598.0,114.0
461,1,561.0,663.0
462,1,474.0,786.0
463,1,681.0,699.0
464,1,549.0,1395.0
465,1,2544.0,399.0
466,1,669.0,1743.0
467,7,2610.0,525.0
468,1,867.0,1599.0
469,1,2610.0,534.0
470,3,2208.0,633.0
471,1,2208.0,639.0
472,2,1038.0,1416.0
473,1,1038.0,1419.0
